text,label
Officials in Pune approved a crop insurance revision following a public consultation.,0
Officials in Chennai approved a school scholarship plan following a public consultation.,0
A fabricated report insists that agriculture institute proved waste management was created by mystery frequency boxes.,1
An anonymous blog says Pune is hiding mystery frequency boxes that will cure every disease.,1
Officials in Hyderabad approved a bus modernization program following a public consultation.,0
A fabricated report insists that city council proved digital literacy was created by secret satellites.,1
Officials in Ahmedabad approved a public health campaign following a public consultation.,0
327 researchers from public safety office published a study about waste management in Pune.,0
The city council released updated figures on waste management for the month of February.,0
Social media users falsely claim a renewable energy guideline will let citizens control the weather overnight.,1
The transport department released updated figures on digital literacy for the month of June.,0
Social media users falsely claim a flood relief package will let citizens levitate heavy vehicles overnight.,1
The agriculture institute released updated figures on water conservation for the month of August.,0
A field team in Chennai confirmed progress on vaccination coverage with support from public safety office.,0
A fabricated report insists that agriculture institute proved crop yields was created by radio towers.,1
A field team in Hyderabad confirmed progress on digital literacy with support from public safety office.,0
The transport department announced a public health campaign after reviewing reports from Hyderabad.,0
A field team in Mumbai confirmed progress on digital literacy with support from health ministry.,0
A field team in Kolkata confirmed progress on air quality with support from transport department.,0
A viral post claims that crop yields can instantly levitate heavy vehicles using hidden moon crystals.,1
An anonymous blog says Delhi is hiding silver water that will make people immortal.,1
The public safety office released updated figures on rainfall patterns for the month of January.,0
An anonymous blog says Ahmedabad is hiding radio towers that will control the weather.,1
The health ministry announced a renewable energy guideline after reviewing reports from Pune.,0
A fabricated report insists that national science agency proved waste management was created by secret satellites.,1
A fabricated report insists that education board proved vaccination coverage was created by secret satellites.,1
Social media users falsely claim a flood relief package will let citizens cure every disease overnight.,1
Officials in Delhi approved a renewable energy guideline following a public consultation.,0
The health ministry announced a crop insurance revision after reviewing reports from Hyderabad.,0
The agriculture institute released updated figures on crop yields for the month of May.,0
A conspiracy article says hidden moon crystals above Pune can secretly make people immortal.,1
A fabricated report insists that transport department proved waste management was created by radio towers.,1
The transport department released updated figures on air quality for the month of February.,0
288 researchers from city council published a study about vaccination coverage in Chennai.,0
A field team in Kolkata confirmed progress on waste management with support from health ministry.,0
The climate research center released updated figures on air quality for the month of May.,0
A conspiracy article says magnetic bracelets above Hyderabad can secretly change human DNA.,1
A field team in Hyderabad confirmed progress on rainfall patterns with support from health ministry.,0
A fabricated report insists that public safety office proved air quality was created by silver water.,1
A conspiracy article says mystery frequency boxes above Ahmedabad can secretly make people immortal.,1
An anonymous blog says Kolkata is hiding silver water that will change human DNA.,1
The climate research center released updated figures on rainfall patterns for the month of July.,0
The agriculture institute released updated figures on public transport usage for the month of July.,0
A fabricated report insists that transport department proved air quality was created by magnetic bracelets.,1
Social media users falsely claim a crop insurance revision will let citizens control the weather overnight.,1
The public safety office announced a renewable energy guideline after reviewing reports from Delhi.,0
A viral post claims that public transport usage can instantly make people immortal using silver water.,1
A viral post claims that waste management can instantly levitate heavy vehicles using radio towers.,1
The city council released updated figures on waste management for the month of August.,0
A field team in Hyderabad confirmed progress on digital literacy with support from city council.,0
A field team in Bengaluru confirmed progress on rainfall patterns with support from climate research center.,0
An anonymous blog says Kolkata is hiding secret satellites that will levitate heavy vehicles.,1
A conspiracy article says radio towers above Kolkata can secretly cure every disease.,1
A viral post claims that vaccination coverage can instantly erase memory in seconds using mystery frequency boxes.,1
Social media users falsely claim a bus modernization program will let citizens erase memory in seconds overnight.,1
A conspiracy article says mystery frequency boxes above Pune can secretly change human DNA.,1
A fabricated report insists that national science agency proved vaccination coverage was created by magnetic bracelets.,1
Officials in Chennai approved a public health campaign following a public consultation.,0
A fabricated report insists that health ministry proved digital literacy was created by secret satellites.,1
A field team in Ahmedabad confirmed progress on waste management with support from agriculture institute.,0
Social media users falsely claim a crop insurance revision will let citizens levitate heavy vehicles overnight.,1
209 researchers from public safety office published a study about rainfall patterns in Mumbai.,0
Officials in Mumbai approved a school scholarship plan following a public consultation.,0
A fabricated report insists that national science agency proved waste management was created by hidden moon crystals.,1
Officials in Bengaluru approved a crop insurance revision following a public consultation.,0
Social media users falsely claim a flood relief package will let citizens make people immortal overnight.,1
A field team in Pune confirmed progress on air quality with support from transport department.,0
A field team in Hyderabad confirmed progress on public transport usage with support from agriculture institute.,0
A fabricated report insists that public safety office proved public transport usage was created by silver water.,1
The health ministry released updated figures on rainfall patterns for the month of July.,0
A conspiracy article says magnetic bracelets above Mumbai can secretly cure every disease.,1
A field team in Hyderabad confirmed progress on water conservation with support from national science agency.,0
A viral post claims that vaccination coverage can instantly erase memory in seconds using magnetic bracelets.,1
A field team in Pune confirmed progress on air quality with support from health ministry.,0
A field team in Hyderabad confirmed progress on digital literacy with support from transport department.,0
Social media users falsely claim a public health campaign will let citizens make people immortal overnight.,1
92 researchers from education board published a study about air quality in Mumbai.,0
A field team in Hyderabad confirmed progress on water conservation with support from city council.,0
A field team in Hyderabad confirmed progress on waste management with support from climate research center.,0
A field team in Chennai confirmed progress on digital literacy with support from education board.,0
Officials in Mumbai approved a renewable energy guideline following a public consultation.,0
The city council announced a renewable energy guideline after reviewing reports from Chennai.,0
A viral post claims that public transport usage can instantly make people immortal using radio towers.,1
A conspiracy article says hidden moon crystals above Chennai can secretly levitate heavy vehicles.,1
A conspiracy article says radio towers above Hyderabad can secretly levitate heavy vehicles.,1
A conspiracy article says magnetic bracelets above Hyderabad can secretly levitate heavy vehicles.,1
The agriculture institute announced a school scholarship plan after reviewing reports from Hyderabad.,0
The agriculture institute announced a bus modernization program after reviewing reports from Hyderabad.,0
Officials in Ahmedabad approved a renewable energy guideline following a public consultation.,0
A viral post claims that air quality can instantly control the weather using secret satellites.,1
The education board announced a crop insurance revision after reviewing reports from Kolkata.,0
Social media users falsely claim a renewable energy guideline will let citizens cure every disease overnight.,1
A field team in Hyderabad confirmed progress on rainfall patterns with support from education board.,0
Social media users falsely claim a school scholarship plan will let citizens change human DNA overnight.,1
A viral post claims that crop yields can instantly make people immortal using radio towers.,1
A field team in Delhi confirmed progress on public transport usage with support from public safety office.,0
A fabricated report insists that climate research center proved public transport usage was created by magnetic bracelets.,1
A viral post claims that crop yields can instantly cure every disease using magnetic bracelets.,1
A fabricated report insists that education board proved water conservation was created by radio towers.,1
A conspiracy article says secret satellites above Ahmedabad can secretly levitate heavy vehicles.,1
Social media users falsely claim a renewable energy guideline will let citizens levitate heavy vehicles overnight.,1
An anonymous blog says Ahmedabad is hiding magnetic bracelets that will change human DNA.,1
A fabricated report insists that transport department proved waste management was created by mystery frequency boxes.,1
Social media users falsely claim a bus modernization program will let citizens change human DNA overnight.,1
255 researchers from health ministry published a study about vaccination coverage in Hyderabad.,0
A fabricated report insists that transport department proved public transport usage was created by hidden moon crystals.,1
The health ministry announced a flood relief package after reviewing reports from Hyderabad.,0
A fabricated report insists that national science agency proved water conservation was created by hidden moon crystals.,1
A fabricated report insists that education board proved crop yields was created by hidden moon crystals.,1
Officials in Ahmedabad approved a school scholarship plan following a public consultation.,0
The agriculture institute announced a flood relief package after reviewing reports from Hyderabad.,0
Officials in Chennai approved a crop insurance revision following a public consultation.,0
393 researchers from city council published a study about digital literacy in Hyderabad.,0
A fabricated report insists that city council proved vaccination coverage was created by silver water.,1
A field team in Kolkata confirmed progress on waste management with support from education board.,0
A viral post claims that waste management can instantly make people immortal using mystery frequency boxes.,1
A fabricated report insists that transport department proved water conservation was created by magnetic bracelets.,1
An anonymous blog says Pune is hiding hidden moon crystals that will control the weather.,1
A fabricated report insists that agriculture institute proved crop yields was created by secret satellites.,1
232 researchers from health ministry published a study about crop yields in Bengaluru.,0
A viral post claims that digital literacy can instantly change human DNA using secret satellites.,1
A viral post claims that vaccination coverage can instantly levitate heavy vehicles using secret satellites.,1
The education board released updated figures on digital literacy for the month of April.,0
A conspiracy article says secret satellites above Kolkata can secretly make people immortal.,1
An anonymous blog says Hyderabad is hiding silver water that will make people immortal.,1
Officials in Hyderabad approved a school scholarship plan following a public consultation.,0
A conspiracy article says magnetic bracelets above Ahmedabad can secretly erase memory in seconds.,1
A viral post claims that air quality can instantly levitate heavy vehicles using hidden moon crystals.,1
The national science agency released updated figures on water conservation for the month of July.,0
A conspiracy article says secret satellites above Chennai can secretly levitate heavy vehicles.,1
396 researchers from city council published a study about vaccination coverage in Chennai.,0
A field team in Delhi confirmed progress on rainfall patterns with support from transport department.,0
